Season;Spec;Rank;Country;Confederation;Rider1;Rank1;Score1;Rider2;Rank2;Score2;Rider3;Rank3;Score3;Score
2025;OVERALL;61;Hong Kong;Asian Cycling Confederation;Tsun Wai Chu;1113;47,36842105;Shi Ho Cheung;1299;40,10025063;#N/A;#N/A;40;42,48913233
2025;OVERALL;61;Croatia;Union Européenne de Cyclisme;Fran Miholjević;1113;47,36842105;Nicolas Gojković;1299;40,10025063;#N/A;#N/A;40;42,48913233
2025;OVERALL;61;Philippines;Asian Cycling Confederation;Ean Cajucom;1113;47,36842105;#N/A;#N/A;40;Jexxel Ehd Azur;1299;40,10025063;42,48913233
2025;OVERALL;67;Iraq;Asian Cycling Confederation;Sulaiman Sulaiman;1113;47,36842105;#N/A;#N/A;40;#N/A;#N/A;40;42,45571579
2025;OVERALL;67;Laos;Asian Cycling Confederation;Ariya Phounsavath;1113;47,36842105;#N/A;#N/A;40;#N/A;#N/A;40;42,45571579
2025;OVERALL;69;Refugee;0;Amir Arsalan Ansari;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;United Arab Emirates;Asian Cycling Confederation;Mohammad Almutaiwei;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Antigua and Barbuda;Confederación Panamericana de Ciclismo;Jyme Bridges;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Albania;Union Européenne de Cyclisme;Valentino Kamberaj;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Armenia;Union Européenne de Cyclisme;Stepan Grigoryan;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Azerbaijan;Union Européenne de Cyclisme;Mahmud Nevzat;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Bahrain;Asian Cycling Confederation;Ahmed Madan;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Bolivia;Confederación Panamericana de Ciclismo;Enrique Eduardo Abasto;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Cameroon;Confédération Africaine de Cyclisme;Jordan Kamdem Fodjo;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Costa Rica;Confederación Panamericana de Ciclismo;Sebastian Brenes;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Algeria;Confédération Africaine de Cyclisme;Hamza Amari;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Egypt;Confédération Africaine de Cyclisme;Hossney Ahmed Shams Alieldin;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Guam;Oceanian Cycling Confederation;Dan Aponik;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Kenya;Confédération Africaine de Cyclisme;Ngugi Stanley Kinyanjui;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Kyrgyzstan;Asian Cycling Confederation;Temirlan Abdrakhimov;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Morocco;Confédération Africaine de Cyclisme;Saad Ait Akbour;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Macau;Asian Cycling Confederation;Chin Pok Kam;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Mauritius;Confédération Africaine de Cyclisme;Aurelien de Comarmond;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;French Polynesia;Oceanian Cycling Confederation;Kahiri Endeler;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Puerto Rico;Confederación Panamericana de Ciclismo;Abner González;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Taiwan;Asian Cycling Confederation;Chun Kai Feng;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Uganda;Confédération Africaine de Cyclisme;Charles Kagimu;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Virgin Islands;Confederación Panamericana de Ciclismo;Antonio Andrews;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;92;Andorra;Union Européenne de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Afghanistan;Asian Cycling Confederation;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Angola;Confédération Africaine de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Burkina Faso;Confédération Africaine de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Bulgaria;Union Européenne de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Benin;Confédération Africaine de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Bermuda;Confederación Panamericana de Ciclismo;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Belize;Confederación Panamericana de Ciclismo;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Dominican Republic;Confederación Panamericana de Ciclismo;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Grenada;Confederación Panamericana de Ciclismo;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Ghana;Confédération Africaine de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Guyana;Confederación Panamericana de Ciclismo;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Honduras;Confederación Panamericana de Ciclismo;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Isle of Man;Union Européenne de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Montenegro;Union Européenne de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;North Macedonia;Union Européenne de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Mali;Confédération Africaine de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Mauritania;Confédération Africaine de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Namibia;Confédération Africaine de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Niger;Confédération Africaine de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Nigeria;Confédération Africaine de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Nicaragua;Confederación Panamericana de Ciclismo;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Oman;Asian Cycling Confederation;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Paraguay;Confederación Panamericana de Ciclismo;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Qatar;Asian Cycling Confederation;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Réunion;Confédération Africaine de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Saudi Arabia;Asian Cycling Confederation;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Singapore;Asian Cycling Confederation;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;San Marino;Union Européenne de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;El Salvador;Confederación Panamericana de Ciclismo;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Trinidad and Tobago;Confederación Panamericana de Ciclismo;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Tanzania;Confédération Africaine de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Vatican;Union Européenne de Cyclisme;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Vietnam;Asian Cycling Confederation;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2025;OVERALL;92;Mix;0;#N/A;#N/A;40;#N/A;#N/A;40;#N/A;#N/A;40;39,9996
2024;OVERALL;1;Belgium;Union Européenne de Cyclisme;Remco Evenepoel;2;97,91478697;Jasper Philipsen;6;95,08521303;Maxim Van Gils;21;89,14285714;94,04667857
2024;OVERALL;2;Denmark;Union Européenne de Cyclisme;Jonas Vingegaard;5;95,82957393;Mads Pedersen;8;93,65413534;Mattias Skjelmose;17;90,23057644;93,23716286
2024;OVERALL;3;Slovenia;Union Européenne de Cyclisme;Tadej Pogačar;1;99,83458647;Primož Roglič;7;94,17794486;Jan Tratnik;54;83,13784461;92,38253481
2024;OVERALL;4;Spain;Union Européenne de Cyclisme;Carlos Rodríguez;9;91,90225564;Enric Mas;10;91,74185464;Mikel Landa;15;91,23057644;91,62397932
2024;OVERALL;5;Great Britain;Union Européenne de Cyclisme;Adam Yates;11;91,66917293;Stephen Williams;19;90,07518797;Thomas Pidcock;27;86,88972431;89,54379962
2024;OVERALL;6;Australia;Oceanian Cycling Confederation;Ben O'Connor;3;96,99498747;Michael Matthews;14;91,42857143;Jai Hindley;82;78,94736842;89,1227512
2024;OVERALL;7;France;Union Européenne de Cyclisme;Valentin Madouas;22;88,81453634;Romain Bardet;23;88,80952381;Christophe Laporte;25;87,72180451;88,44773707
2024;OVERALL;8;Netherlands;Union Européenne de Cyclisme;Mathieu van der Poel;4;96,82957393;Olav Kooij;44;84,46365915;Thymen Arensman;56;83,05263158;88,11440707
2024;OVERALL;9;Italy;Union Européenne de Cyclisme;Filippo Ganna;30;86,56641604;Giulio Ciccone;35;85,63909774;Luca Mozzato;37;85,56892231;85,92395278
2024;OVERALL;10;United States;Confederación Panamericana de Ciclismo;Matteo Jorgenson;13;91,64661654;Brandon McNulty;48;83,95989975;Magnus Sheffield;69;80,71428571;85,43941293
2024;OVERALL;11;Germany;Union Européenne de Cyclisme;Nils Politt;12;91,65914787;Florian Lipowitz;34;86,0726817;Georg Steinhauser;139;74,43609023;84,05513271
2024;OVERALL;12;Switzerland;Union Européenne de Cyclisme;Marc Hirschi;20;89,72431078;Stefan Küng;32;86,30576441;Jan Christen;131;74,68671679;83,57142827
2024;OVERALL;13;Colombia;Confederación Panamericana de Ciclismo;Daniel Felipe Martínez;29;86,71929825;Egan Bernal;51;83,30576441;Santiago Buitrago;75;79,78696742;83,26984398
2024;OVERALL;14;Ecuador;Confederación Panamericana de Ciclismo;Richard Carapaz;26;87,46867168;Jhonatan Narváez;48;83,95989975;Jefferson Alveiro Cepeda;138;74,43859649;81,95490308
2024;OVERALL;15;Portugal;Union Européenne de Cyclisme;João Almeida;18;90,09022556;António Morgado;68;80,79197995;Rui Oliveira;253;68,2556391;79,71181774
2024;OVERALL;16;Norway;Union Européenne de Cyclisme;Jonas Abrahamsen;67;81,04260652;Per Strand Hagenes;74;80,22807018;Søren Wærenskjold;95;77,69924812;79,65584504
2024;OVERALL;17;New Zealand;Oceanian Cycling Confederation;Laurence Pithie;57;82,97994987;Corbin Strong;89;78,36591479;Finn Fisher-Black;150;73,68421053;78,34257496
2024;OVERALL;18;Eritrea;Confédération Africaine de Cyclisme;Biniam Girmay;32;86,30576441;Natnael Tesfatsion;130;74,93984962;Henok Mulubrhan;181;71,61403509;77,61910684
2024;OVERALL;19;Ireland;Union Européenne de Cyclisme;Ben Healy;78;79,45614035;Eddie Dunbar;92;77,86466165;Sam Bennett;141;74,19298246;77,17048977
2024;OVERALL;20;Czechia;Union Européenne de Cyclisme;Jan Hirt;85;78,71929825;Pavel Bittner;123;75,44611529;Mathias Vacek;124;75,44110276;76,53474008
2024;OVERALL;21;Canada;Confederación Panamericana de Ciclismo;Derek Gee;40;85,07017544;Michael Woods;122;75,52631579;Pier-André Côté;342;65,91478697;75,50300436
2024;OVERALL;22;Latvia;Union Européenne de Cyclisme;Toms Skujiņš;16;91,06516291;Emīls Liepiņš;388;64,66165414;Krists Neilands;460;62,74185464;72,82216233
2024;OVERALL;23;Russia;Union Européenne de Cyclisme;Aleksandr Vlasov;36;85,63157895;Artem Nych;337;66,16541353;Gleb Syritsa;401;64,3283208;72,04105068
2024;OVERALL;24;Austria;Union Européenne de Cyclisme;Marco Haller;147;73,93483709;Felix Gall;178;71,67919799;Gregor Mühlberger;220;69,43358396;71,68182286
2024;OVERALL;25;Poland;Union Européenne de Cyclisme;Stanisław Aniołkowski;206;70,17794486;Michał Kwiatkowski;235;68,84461153;Rafał Majka;252;68,26566416;69,09538256
2024;OVERALL;26;Estonia;Union Européenne de Cyclisme;Madis Mihkels;227;69,34085213;Karl Patrick Lauk;258;68,11027569;Siim Kiskonen;440;63,10526316;66,8514618
